LocationId,Year,White,Latino,Black,Asian,Other,%White,%Latino,%Black,%Asian,%Other,max_race
412,2018,4260.0,37851.0,147480.0,30193.0,18835.0,0.01785,0.15863,0.61806,0.12653,0.07893,Black
413,2014,25067.0,22235.0,113439.0,29969.0,9631.0,0.12512,0.11099,0.56623,0.14959,0.04807,Black
413,2015,24632.0,23290.0,111779.0,30115.0,9929.0,0.12332,0.1166,0.55961,0.15077000000000002,0.049710000000000004,Black
413,2016,23472.0,23512.0,112651.0,30277.0,10940.0,0.11685999999999999,0.11706,0.56087,0.15074,0.054470000000000005,Black
413,2017,23377.0,25367.0,114449.0,31090.0,11357.0,0.11367999999999999,0.12336,0.55655,0.15119000000000002,0.055229999999999994,Black
413,2018,21997.0,25328.0,112996.0,31249.0,11130.0,0.10852,0.12495,0.55745,0.15416,0.05491,Black
414,2014,42103.0,26797.0,42228.0,3660.0,2682.0,0.35841,0.22812,0.35948,0.031160000000000004,0.02283,Black
414,2015,41287.0,28385.0,42450.0,4371.0,2424.0,0.34719,0.2387,0.35697,0.03676,0.020380000000000002,Black
414,2016,42536.0,28592.0,42956.0,4760.0,2673.0,0.35004,0.23529,0.3535,0.039169999999999996,0.022000000000000002,Black
414,2017,43159.0,30013.0,43224.0,4317.0,2299.0,0.35085,0.24398000000000003,0.35138,0.035089999999999996,0.018690000000000002,Black
414,2018,43065.0,30032.0,45041.0,4892.0,2868.0,0.34206,0.23854,0.35775999999999997,0.038860000000000006,0.02278,Black
501,2014,67564.0,50405.0,38324.0,12900.0,4669.0,0.38861,0.28991,0.22043000000000001,0.0742,0.02685,White
501,2015,65486.0,50179.0,38779.0,13069.0,4869.0,0.37989,0.29109,0.22496,0.07581,0.02825,White
501,2016,65431.0,50585.0,38089.0,12964.0,5300.0,0.3796,0.29347,0.22096999999999997,0.07521,0.03075,White
501,2017,66322.0,51339.0,37284.0,13105.0,5441.0,0.38228,0.29591999999999996,0.2149,0.07554,0.03136,White
501,2018,64869.0,51013.0,36557.0,14644.0,4811.0,0.37738,0.29677,0.21266999999999997,0.08519,0.027989999999999998,White
502,2014,91934.0,16206.0,4982.0,16958.0,1617.0,0.69807,0.12305999999999999,0.03783,0.12877,0.01228,White
502,2015,92142.0,17501.0,4931.0,16928.0,2006.0,0.69016,0.13109,0.036930000000000004,0.12679,0.015030000000000002,White
502,2016,92469.0,18445.0,5062.0,17079.0,2268.0,0.6833199999999999,0.1363,0.03741,0.12621,0.01676,White
502,2017,91074.0,18763.0,5591.0,19085.0,2346.0,0.66546,0.1371,0.04085,0.13945,0.01714,White
502,2018,90464.0,19029.0,5610.0,18968.0,2879.0,0.66056,0.13895,0.04096,0.1385,0.02102,White
503,2014,138658.0,16755.0,1833.0,7253.0,1464.0,0.8354799999999999,0.10096000000000001,0.011040000000000001,0.0437,0.00882,White
503,2015,139172.0,16656.0,1613.0,7678.0,1472.0,0.83541,0.09998,0.00968,0.04609,0.00884,White
503,2016,138438.0,16089.0,1419.0,7733.0,1953.0,0.8358200000000001,0.09714,0.00857,0.046689999999999995,0.01179,White
503,2017,138120.0,16438.0,1725.0,7751.0,1564.0,0.8340700000000001,0.09926,0.01042,0.046810000000000004,0.00944,White
503,2018,137027.0,16934.0,1739.0,7466.0,2091.0,0.8291799999999999,0.10247,0.01052,0.04518,0.01265,White
