,PUMA,Year,severe_burden_pct
182,4008,2015,0.29819625000000005
183,4008,2016,0.30086250000000003
184,4008,2017,0.2988125
185,4008,2018,0.26977875
186,4009,2013,0.300922
187,4009,2014,0.310558
188,4009,2015,0.307122
189,4009,2016,0.298498
190,4009,2017,0.305478
191,4009,2018,0.264626
192,4010,2013,0.29601500000000003
193,4010,2014,0.3266616666666667
194,4010,2015,0.30365499999999995
195,4010,2016,0.30787000000000003
196,4010,2017,0.3190866666666667
197,4010,2018,0.2596383333333333
198,4011,2013,0.2974625
199,4011,2014,0.31915
200,4011,2015,0.309785
201,4011,2016,0.3121075
202,4011,2017,0.3054175
203,4011,2018,0.2548125
204,4012,2013,0.299608
205,4012,2014,0.315308
206,4012,2015,0.30448000000000003
207,4012,2016,0.322032
208,4012,2017,0.289034
209,4012,2018,0.28122800000000003
210,4013,2013,0.28067000000000003
211,4013,2014,0.33732
212,4013,2015,0.29966
213,4013,2016,0.30663
214,4013,2017,0.29150666666666664
215,4013,2018,0.2913466666666667
216,4014,2013,0.322185
217,4014,2014,0.3432466666666667
218,4014,2015,0.3272566666666667
219,4014,2016,0.33326
220,4014,2017,0.317845
221,4014,2018,0.3095733333333333
222,4015,2013,0.3294616666666667
223,4015,2014,0.33479333333333333
224,4015,2015,0.33088499999999993
225,4015,2016,0.32404499999999997
226,4015,2017,0.319995
227,4015,2018,0.2825783333333333
228,4016,2013,0.32895166666666664
229,4016,2014,0.32857333333333333
230,4016,2015,0.31638333333333335
231,4016,2016,0.32093166666666667
232,4016,2017,0.323145
233,4016,2018,0.3040983333333333
234,4017,2013,0.324028
235,4017,2014,0.339328
236,4017,2015,0.30152
237,4017,2016,0.32786400000000004
238,4017,2017,0.329032
239,4017,2018,0.321764
240,4018,2013,0.30411666666666665
241,4018,2014,0.31735
242,4018,2015,0.28502333333333335
243,4018,2016,0.2924933333333333
244,4018,2017,0.31612666666666667
245,4018,2018,0.30772666666666665
246,4101,2013,0.259085
247,4101,2014,0.248745
248,4101,2015,0.2416225
249,4101,2016,0.24999750000000004
250,4101,2017,0.2301375
251,4101,2018,0.216235
252,4102,2013,0.28317
253,4102,2014,0.29682749999999997
254,4102,2015,0.29126
255,4102,2016,0.29093
256,4102,2017,0.25796
257,4102,2018,0.24729250000000003
258,4103,2013,0.3012333333333333
259,4103,2014,0.3239666666666667
260,4103,2015,0.2867633333333333
261,4103,2016,0.2864366666666667
262,4103,2017,0.30912333333333336
263,4103,2018,0.30429666666666666
264,4104,2013,0.29392250000000003
265,4104,2014,0.3213625
266,4104,2015,0.2845475
267,4104,2016,0.2867475
268,4104,2017,0.30038499999999996
269,4104,2018,0.2887825
270,4105,2013,0.292018
271,4105,2014,0.33179
272,4105,2015,0.26607200000000003
273,4105,2016,0.279956
274,4105,2017,0.29081799999999997
275,4105,2018,0.265674
276,4106,2013,0.294885
277,4106,2014,0.32438666666666666
278,4106,2015,0.2885466666666667
279,4106,2016,0.28908
280,4106,2017,0.2880233333333333
281,4106,2018,0.29294166666666666
282,4107,2013,0.29699714285714285
283,4107,2014,0.31152857142857143
284,4107,2015,0.2999828571428571
285,4107,2016,0.30622142857142853
286,4107,2017,0.2725214285714286
287,4107,2018,0.2755657142857143
288,4108,2013,0.28785666666666665
289,4108,2014,0.28674666666666665
290,4108,2015,0.30805999999999994
291,4108,2016,0.30307666666666666
292,4108,2017,0.25253
293,4108,2018,0.25323333333333337
294,4109,2013,0.2652616666666667
295,4109,2014,0.27133833333333335
296,4109,2015,0.2716433333333333
297,4109,2016,0.2723716666666667
298,4109,2017,0.23864
299,4109,2018,0.23584833333333333
300,4110,2013,0.26177285714285714
301,4110,2014,0.2889985714285714
302,4110,2015,0.2872014285714286
303,4110,2016,0.2872557142857143
304,4110,2017,0.25674857142857144
305,4110,2018,0.25726714285714286
306,4111,2013,0.2883928571428571
307,4111,2014,0.31452714285714284
308,4111,2015,0.2861828571428572
309,4111,2016,0.29157142857142854
