boro_cd,year,Total Number HPD Complaints,Normalized complaints by population
408,2014,1451,0.009602467
408,2015,3165,0.020945423
408,2016,2784,0.018424031
408,2017,3050,0.020184373
409,2013,16,0.000111641
409,2014,1913,0.013348033
409,2015,3273,0.022837486
409,2016,2881,0.020102291
409,2017,3051,0.021288472
410,2013,7,5.71914E-05
410,2014,679,0.005547567
410,2015,1261,0.010302624
410,2016,1054,0.008611393
410,2017,1407,0.011495474
411,2013,2,1.71776E-05
411,2014,523,0.004491931
411,2015,1001,0.008597367
411,2016,894,0.007678367
411,2017,1016,0.008726198
412,2013,20,8.85273E-05
412,2014,2263,0.010016864
412,2015,4252,0.018820905
412,2016,3436,0.015208991
412,2017,4016,0.017776283
413,2013,10,5.30242E-05
413,2014,909,0.004819903
413,2015,1907,0.010111722
413,2016,1547,0.00820285
413,2017,1645,0.008722487
414,2013,17,0.000147854
414,2014,1851,0.016098732
414,2015,4283,0.037250604
414,2016,3193,0.02777053
414,2017,3706,0.032232253
501,2013,14,7.96559E-05
501,2014,1214,0.006907303
501,2015,2228,0.012676665
501,2016,2187,0.012443387
501,2017,2073,0.011794761
502,2013,18,0.000136361
502,2014,737,0.005583206
502,2015,1471,0.011143686
502,2016,1529,0.01158307
502,2017,1725,0.013067885
503,2014,311,0.001941214
503,2015,661,0.004125861
503,2016,565,0.003526643
503,2017,613,0.003826252
207,2013,0,0
207,2014,0,0
207,2015,0,0
207,2016,0,0
207,2017,0,0
105,2013,0,0
105,2014,0,0
105,2015,0,0
209,2013,0,0
210,2013,0,0
503,2013,0,0
