,CensusTractNumber,White (% of total population),Married With Children (% of households),Nonfamily Households with Children Under 18 (% of all households),Median Household Income ($),Completed High School or High School and Some College (% of adults 25+),Unemployed (% ages 16 and older),Housing Units Occupied by Renters (%),U.S.-Born (% of total population),Elderly Population (% 65+)
44,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
45,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
46,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
47,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
48,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
49,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
50,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
51,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
52,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
53,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
54,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
55,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
56,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
57,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
58,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
59,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
60,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
61,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
62,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
63,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
64,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
65,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
66,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
